day_of_week,hour_of_day,total_trips,avg_delay,max_delay,delayed_trips
Saturday,5,11310,2.73,62.3,2286.0
Thursday,4,3968,2.7,63.28,709.0
Sunday,3,4288,2.68,66.77,913.0
Friday,1,2325,2.65,38.98,522.0
Saturday,8,31469,2.57,73.63,6996.0
Sunday,8,25954,2.56,73.45,5618.0
Saturday,6,19093,2.51,74.45,4094.0
Sunday,0,1045,2.46,35.85,264.0
Sunday,7,21157,2.4,73.4,4418.0
Tuesday,7,56697,2.37,111.5,14064.0
Wednesday,4,5088,2.3,67.37,877.0
Saturday,7,24905,2.26,69.83,5166.0
Thursday,1,1416,2.25,37.53,295.0
Thursday,7,37825,2.24,72.73,9009.0
Wednesday,7,48125,2.18,80.28,10904.0
Thursday,5,9544,2.11,74.5,1656.0
Friday,4,5963,2.03,97.4,962.0
Monday,4,5396,2.03,73.82,847.0
Monday,6,28313,2.01,80.23,5255.0
Friday,7,49333,1.99,106.17,10316.0
Wednesday,2,2907,1.91,70.57,506.0
Friday,2,3160,1.9,66.73,591.0
Tuesday,4,6085,1.89,70.22,949.0
Wednesday,1,1941,1.89,40.7,357.0
Thursday,6,23015,1.88,75.85,4243.0
Monday,5,13311,1.85,74.27,2020.0
Wednesday,3,3339,1.85,76.55,573.0
Friday,3,3753,1.81,74.15,662.0
Wednesday,6,28983,1.77,73.35,4859.0
Tuesday,1,2532,1.74,46.03,383.0
Friday,5,15197,1.73,61.07,2288.0
Monday,1,2034,1.73,41.98,306.0
Monday,2,2726,1.73,68.25,441.0
Thursday,2,2370,1.73,67.92,366.0
Friday,6,34697,1.72,70.58,5740.0
Tuesday,6,36397,1.69,112.23,6012.0
Wednesday,5,12915,1.69,75.72,1877.0
Monday,3,3109,1.65,58.8,460.0
Tuesday,3,3376,1.6,65.43,530.0
Thursday,3,2895,1.58,78.15,460.0
Tuesday,5,17267,1.56,67.0,2464.0
Thursday,0,330,1.55,17.57,52.0
Tuesday,2,3068,1.44,35.07,447.0
Saturday,0,1036,1.35,21.55,209.0
Monday,0,713,1.18,22.45,108.0
Friday,0,630,1.17,25.58,116.0
Wednesday,0,472,0.93,20.13,85.0
Tuesday,0,897,0.83,17.98,112.0
